,"Biodiffusor","Bioirrigator","No_bioturbation","Surface_modifier","Large","Medium","Small","None","Permanent","Deposit_feeder","Filter_suspension","Grazer_scraper","Omnivore","Predator","Scavenger_opportunist","Sub.surface_deposit_feeder","Mobile","Sessile_attached","Hard","Hard_exoskeleton","Hard_shell","Irregular","Round","Fragile_Soft","Vermiform","Burrower","Crawler","None.1","Swimmer","Attached_sessile","Burrower.1","Free.living_Surface_crawler","Tube_dwelling","Attached","Bentho.pelagic","Deeper_than_3cm","Surface_shallow_Less_3cm","Pelagic.planktotrophic","Pelagic_lecthrotophic","Benthic","Brooder_Direct_developer","No_larvae","Les_1year","X1.3_years","X3.10_years","Sexual_pelagic_shed_eggs","Sexual_benthic_shed_eggs","Sexual_encapsulation_.gelatinous.mass.","Sexual_ovigerous_broad_eggs","Asexual","Sexual_direct_development","Annual","Continuos","Seasonal"
"Ficopomatus enigmaticus",0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,4,0,2,0,0,2,4,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Fissurellidae ",0,0,4,0,0,3,1,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,2,2,0,0,0,4,0,0
"Flabelligeridae",0,4,0,0,4,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,2,2,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0
"Galathea australiens",0,0,0,4,4,0,0,4,0,1,1,0,0,1,1,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0
"Gammaridae",0,0,0,4,0,4,0,4,0,0,1,0,0,0,2,1,4,0,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,2,2,0,0,0,0,4,0,0,0,4,0
"Gazameda iredalei",0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Glyceridae",0,4,0,0,2,2,0,4,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Glycymeris radians",0,2,0,2,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Gnathia mulieraria",0,0,4,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0
"Golfingia sp.",0,2,0,2,4,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,4,0,0,0,0,2,2,0,2,2,0,0,0,4,0,2,0,0,2,0,0,4,0,0
"Gomeza bicornis",0,0,0,4,4,0,0,4,0,0,0,0,0,2,2,0,4,0,0,2,0,2,0,0,0,2,2,0,0,0,4,0,0,0,0,0,4,2,0,0,2,0,0,0,4,0,0,0,4,0,0,4,0,0
"Goniadidae",0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,4,2,2,0,0,0,0,4,0,0
"Granata sp.",0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0
"Gynodiastylis truncatifrons",0,0,0,4,0,3,1,4,0,1,0,0,0,2,1,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,4,0,0,0,0,0,4,0,0,4,0,0
"Halicarcinus ovatus",0,4,0,0,4,0,0,4,0,0,0,0,0,3,1,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,4,0
"Haloniscus searlei",0,4,0,0,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,2,0,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,4,0
"Haustorius sp.",0,0,0,4,0,4,0,4,0,0,1,0,0,0,2,1,4,0,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,2,2,0,0,0,0,4,0,0,4,0,0
"Helograpsus haswellianus",0,4,0,0,3,1,0,4,0,0,0,2,0,1,1,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0
"Heteroserolis australiensis",0,4,0,0,2,2,0,4,0,4,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0
"Hiatella australis",0,4,0,0,4,0,0,4,0,0,4,0,0,"NA",0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Hiatula alba",0,2,0,2,4,0,0,4,0,2,2,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,3,1,4,0,0,0,0,0,4,0,0
"Holopneustes purpurascens",0,0,0,4,2,2,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4
"Holothuria (Panningothuria) austrinabassa ",0,4,0,0,4,0,0,4,0,2,0,0,0,1,1,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0
"Holothuroidea",0,4,0,0,4,0,0,4,0,2,0,1,0,0,0,1,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,2,2,0,0,0,4,0,0,4,0,0
"Hyalidae",0,0,4,0,2,2,0,4,0,1,0,2,0,0,1,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0
"Hydrobiidae",1,0,2,1,0,2,2,4,0,2,0,2,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,2,2,0,0,2,2,0,0,0,4,0,0
"Isaeidae",0,0,0,4,1,3,0,4,0,0,3,1,0,0,0,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,2,2,0,0,0,0,4,0,0,4,0,0
"Ischnochiton sp.",0,0,0,4,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Ischnochiton variegatus",0,0,0,4,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Janiridae",0,0,0,4,0,4,0,4,0,2,0,2,0,0,0,0,4,0,0,2,0,2,0,0,0,0,2,0,2,0,1,3,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,4,0
"Katelysia peronii",0,2,0,2,4,0,0,4,0,2,2,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,4
"Katelysia rhytiphora",0,2,0,2,4,0,0,4,0,2,2,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,4
"Katelysia scalarina",0,2,0,2,4,0,0,4,0,2,2,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,4
"Laternula sp.",0,4,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,2,2,0,0,0,0,4,0,0
"Leptocheliidae",0,0,0,4,0,2,2,4,0,2,0,2,0,0,0,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,4,0,0,0,2,0,2,0,0,0,4,0,0,2,2,0,0,0,4,0,0,0,4,0
"Leucosoleniidae",0,0,0,4,4,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Liloa brevis",0,2,2,0,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0
"Limaria orientalis",0,0,0,4,0,4,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,2,2,0,0,2,0,2,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Limatula strangei",0,0,0,4,0,4,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,2,2,0,0,2,0,2,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Litocheira bispinosa",0,4,0,0,4,0,0,4,0,0,0,0,0,2,2,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,2,2,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,4,0
"Litogynodiastylis turgida",0,4,0,0,0,4,0,4,0,2,0,0,0,2,0,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,2,2,0,0,0,4,0,0,4,0,0
"Lophopagurus (Lophopagurus) nanus",0,0,0,4,4,0,0,4,0,1,1,0,0,0,2,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,2,1,1,0,0,0,4,0,0,4,0,0
"Lottiidae",0,0,4,0,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Lucinidae",0,2,0,2,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Lumbrineridae",0,4,0,0,3,1,0,4,0,1,0,0,0,3,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,1,3,0,0,0,4,0,2,2,0,0,0,0,2,2,0,0,4,0,0,0,4,0,0
"Lutraria rhynchaena",0,2,0,2,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,0,2,0,0,4,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0
"Lysianassidae",0,4,0,0,2,2,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,2,2,0,0,0,0,4,0,0,4,0,0
"Macomona deltoidalis",0,4,0,0,4,0,0,4,0,2,2,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,3,1,4,0,0,0,0,0,1,3,0,4,0,0,0,0,4,0,0
"Mactridae",0,0,0,4,2,2,0,4,0,2,2,0,0,0,0,0,4,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,0,0,2,2,4,0,0,0,0,0,0,4,2,2,0,0,0,0,4,0,0
"Mactrotoma antecedens",0,4,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0
"Magellania flavescens",0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Magelonidae",0,4,0,0,4,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,2,2,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,2,2,0,0,0,0,4,0,0
"Maldanidae",0,4,0,0,1,2,1,4,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,4,0,0,0,0,4,0,0,2,0,2,0,0,4,0,1,1,0,2,0,0,4,0,0
"Mesanthura maculata",0,0,4,0,0,4,0,4,0,0,0,0,0,2,2,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,4,0
"Metapenaeopsis novaeguineae",0,0,4,0,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0
"Mimachlamys sp.",0,2,0,2,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Mitrella australis",0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Mitrella lincolnensis ",0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Mopaliidae",0,0,0,4,4,0,0,4,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,2,2,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Musculus nana",0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0
"Myadora albida",0,0,0,4,0,4,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,2,2,0,0,0,0,4,0,4,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Mysella sp.",0,0,0,4,0,4,0,4,0,2,2,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,4,0,0,0,2,2,0,0,2,0,2,2,2,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Mysidae",0,0,4,0,4,0,0,4,0,2,2,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,4,0,0
"Nassariidae",1,0,2,1,1,3,0,4,0,0,0,0,0,0,4,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,2,2,0,0,4,0,0,4,0,0,0,0,0,4,0,0,2,2,0,0,0,4,0,0
"Nassarius pauperatus",1,0,2,1,1,3,0,4,0,0,0,0,0,0,4,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,2,2,0,0,4,0,0,4,0,0,0,0,0,4,0,0,2,2,0,0,0,4,0,0
"Nassarius pyrrhus",1,0,2,1,1,3,0,4,0,0,0,0,0,0,4,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,2,2,0,0,4,0,0,4,0,0,0,0,0,4,0,0,2,2,0,0,0,4,0,0
"Natatolana vieta",0,0,0,4,0,4,0,4,0,0,0,0,0,2,2,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,4,0,0,2,0,2,0,0,0,4,0,1,3,0,0,0,0,4,0,0,0,4,0
"Natica sp.",0,0,0,4,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0
"Neanthes vaalii",0,4,0,0,4,0,0,4,0,1,0,0,0,2,1,0,4,0,0,0,0,0,0,2,2,4,0,0,0,0,3,0,1,0,0,3,1,1,0,1,2,0,0,1,3,0,0,0,4,0,0,4,0,0
"Neastacilla deducta",0,0,0,4,0,4,0,4,0,0,2,2,0,0,0,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,2,0,2,0,0,0,4,0,1,3,0,0,0,0,4,0,0,0,4,0
"Nebaliidae",0,0,4,0,0,0,4,4,0,0,4,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,2,0,0,2,0,0,4,0,0
"Nemertea",0,0,4,0,2,1,1,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,4,0,0,0,1,2,1,0,0,4,0,0,2,0,2,0,0,4,0,0
"Nemocardium sp.",0,2,0,2,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,2,2,0,0,2,0,2,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Neocallichirus angelikae",0,4,0,0,4,0,0,4,0,2,0,0,0,0,0,2,4,0,0,0,0,2,0,2,0,4,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0
"Neotrigonia sp.",0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Nephtyidae",0,4,0,0,4,0,0,4,0,0,0,0,0,3,0,1,4,0,0,0,0,0,0,2,2,2,1,0,1,0,2,2,0,0,0,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Nereididae",0,4,0,0,4,0,0,4,0,1,0,0,0,2,1,0,4,0,0,0,0,0,0,2,2,4,0,0,0,0,3,0,1,0,0,3,1,1,0,1,2,0,0,1,3,0,0,0,4,0,0,4,0,0
"Nerita atramentosa",0,0,3,1,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,0,2,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,3,1,0,4,0,0,0,0,4,0,0
"Notoacmea flammea",0,0,3,1,0,2,2,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Notospermus sp.",0,0,4,0,2,1,1,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,4,0,0,0,1,2,1,0,0,4,0,0,2,0,2,0,0,4,0,0
"Nototeredo edax",0,4,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Oenonidae",0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,2,2,2,0,0,0,2,2,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0
"Oligochaeta",0,1,0,3,1,1,2,4,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,2,2,0,4,0,0,0,2,2,0,0,0,1,3,0,0,4,0,0,0,2,2,0,0,4,0,0,0,4,0,0
"Onuphidae",0,0,0,4,4,0,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,2,2,2,2,0,0,4,0,0,0,0,0,2,2,1,2,0,1,0,0,0,4,0,1,0,1,0,2,4,0,0
"Opheliidae",0,4,0,0,1,2,1,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,4,0,0,0,0,4,0,0,0,0,4,0,1,1,0,2,0,0,2,2,0,0,0,4,0,0,4,0,0
"Ophiactis tricolor",0,4,0,0,4,0,0,4,0,0,0,0,0,1,3,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Ophiomyxa australis",0,4,0,0,4,0,0,4,0,0,0,0,0,1,3,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Ophionereis sp.",0,4,0,0,4,0,0,4,0,0,0,0,0,2,2,0,4,0,2,0,0,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,3,1,0,0,0,0,4,0,0,4,0,0
"Ophiothrix caespitosa",0,4,0,0,4,0,0,4,0,2,0,0,0,1,1,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Ophiuroidea",0,0,0,4,4,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,2,0,0,2,0,0,0,4,2,0,0,2,0,0,4,0,0
"Orbiniidae",0,4,0,0,4,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0
"Oweniidae",0,4,0,0,4,0,0,4,0,2,0,0,0,0,2,0,4,0,0,0,0,0,0,2,2,2,2,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0
"Paguridae",0,0,0,4,3,1,0,4,0,0,0,0,0,3,1,0,4,0,0,1,1,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,2,1,1,0,0,0,4,0,0,4,0,0
"Palaemon intermedius",0,0,4,0,4,0,0,4,0,2,0,0,0,1,1,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,2,2,0,4,0,0,0,0,0,2,1,1
"Paradentalium intercalatum",0,4,0,0,4,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,4,0,0,0,0,4,0,0,0,0,3,1,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Paragrapsus gaimardii",0,2,0,2,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,2,2,0,0,0,2,2,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0
"Paraonidae",0,4,0,0,2,2,0,4,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,2,2,4,0,0,0,0,4,0,0,0,0,4,0,2,0,0,2,0,0,4,0,2,0,0,2,0,0,4,0,0
"Paraproto spinosa",0,0,4,0,0,4,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0
"Parapseudidae",0,0,0,4,2,2,0,4,0,1,1,0,0,2,0,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,2,0,2,0,2,0,2,0,0,0,4,0,0,2,2,0,0,0,4,0,0,0,4,0
"Parastacilla bakeri",0,0,0,4,0,4,0,4,0,0,2,2,0,0,0,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,2,0,2,0,0,0,4,0,1,3,0,0,0,0,4,0,0,0,4,0
"Pardaliscidae",0,0,0,4,0,4,0,4,0,0,0,0,0,2,2,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,4,0,0
"Parvulastra exigua",0,0,2,2,2,2,0,4,0,0,0,0,0,3,1,0,4,0,2,0,0,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4
"Patellidae",0,0,0,4,1,2,1,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4,0,2,2,0,0,0,4,0,0
"Pectinariidae",0,4,0,0,1,3,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,4,0,0,0,4,2,2,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Peculator porphyria",0,0,4,0,0,2,2,4,0,0,0,0,0,4,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,2,2,0,4,0,0,0,0,0,4,0,0
"Penaeus latisulcatus",0,0,4,0,4,0,0,4,0,1,0,0,0,2,1,0,4,0,0,2,0,2,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0
"Perthiidae",0,0,4,0,0,4,0,4,0,1,1,0,0,1,1,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,4,0,0
"Phasianotrochus eximius",0,0,4,0,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0
"Philine angasi",0,2,2,0,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,2,2,0,0,4,0,0,4,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0
"Phoratopodidae",0,0,4,0,0,4,0,4,0,2,2,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,2,2,0,0,0,0,4,0,0,0,4,0
"Phoxocephalidae",0,0,4,0,0,4,0,4,0,1,1,0,0,1,1,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,4,0,0
"Phyllodoce novaehollandiae",0,0,0,4,4,0,0,4,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0
"Phyllodocidae",0,4,0,0,2,1,1,4,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,1,2,1,0,0,2,2,0,0,4,0,0,0,4,0,0,0,4,0,0
"Pilumnopeus serratifrons",0,4,0,0,4,0,0,4,0,1,0,1,0,1,1,0,4,0,0,2,0,2,0,0,0,2,2,0,0,0,2,2,0,0,2,0,2,2,0,0,2,0,0,2,2,0,0,0,4,0,0,4,0,0
